Location,Old Location,Location Description
103,1003,Corr
101,1005,Girl's Locker Room
101-07,1010,Stor?
101-11,1012,Team
101-13,1013,Mech
1013-A,1013-A,CorrSame~?
,1014,Corr
102-12,1015-A,Team
101-06,1018,Stor
102-07,1019,Stor
101-04?,1021-A,Bath
102-01,1023,Team
107-2,1030-A,Cone
107-1,1030-B,Office
,1031,Corr
106,1031-A,?
,1036,New Shower
,1038,Corridor
111-01,1051-A,?
111-02,1051-B,?
130-03,1075,Refrig
130,1083,Kitchen
129,1085A,Kitch Lockers
,1090,Corridor
,1097,Corridor
144-01,1102,Elevr Mach
,1103,Corr
146,1105,Stor
,1106,Corr
,2nd Floor,Floor
,2010B,Corr
,2012,Gym Entrance
,2014A,Alcove #2
262,3002A,Office
,3005,Bridge
,3005A,Elevator Lobby
NL,3046A,?
NL,3046B,?
,3047A,Alcove
,3053,Corr
NL,3060A,?
NL,3060B,?
NL,3091A,?
NL,3091B,?
256-01/02,3091C,Alcove
,3096,Corr
,3102,Corr
220,,Book Stor
225,3124,Science CR
223,3125,Lab
221,3126,?
219,3127,Lab
217,3128,Science CR
,4045A,Alcove
,4045B,Alcove
,4045C,Alcove
,4045D,Acove
,4045E,Alcove
350-01/02,4054A,FIFC
,4054B,Alcove
,4064A,Stair F-2
,4078,Corr
1013-A,1064A,Corr
102-12,1066A,Team
101-04,1071A,Bath
107-2,1085A,Cone
107-1,1095A,Office
106,1096A,?
113-01,1097A,Kiln
111-01,1097B,?
111-02,2005A,?
118-01,2010A,Emergency Electric
120,2010B,?
,2014A,Corr
125-02,2014B,Mech
129,3002A,Kitch Lockers
136,3005A,Emergency Electric
,3007A,Vest
141,3015A,A.A.P.
142,3046A,Y.C.
L1-02,3046B,P.E.
,3047A,Corr
,3055A,Corr
,3055B,Alcove #2
,3060A,Alcove #3
262,3060B,Office
,3060C,Elevator Lobby
213,3076A,Jan Closet
200-01,3087A,?
,3091A,?
,3091B,?
,3091C,Alcove
261-12,3101A,Bathroom
261-13,3101B,Bathroom
,3117A,?
,4015A,?
,4021A,?
262-07,4031A,Reception
257,4033A,?
,4037A,?
,4045A,?
256-01,4045B,Alcove
239,4045C,Jan
237,4045D,Tutor
234,4045E,Book Stor
371-01,4046A,F.I. M
381,4052A,Sp Ed
,4054A,Alcove
368,4054B,?
362-01,4064A,?
,4066A,Alcove
,4074A,Alcove
,4081A,Alcove
,4083A,Acove
,4091A,Alcove
220,,Book Stor
318,,Book Stor
330,,Book Stor
340,,Off
349,,Sp Ed
324-05,,Stor
324-07,,F.I/ Women's
350-01,,FIFC
,,Stor
,,Alcove
,,Stair F-2
?,1059A,BUT HAS A PANEL IN IT
257-258,?,?
?,corridors,?
?,Corridor,?
?,corridor,?
?,Corridors,?
?,Mezzanine,?
?,Ramp,?
